COU,IND,OBS_VALUE,total_output,pi_ii_k,x_ijk,IPR
AUS,D01T03,3474280.474,3474280.5,1,0,0
AUS,D05T08,31963347.41799999,31963348,1,0,0
AUS,D10T32,112773220.727,112773224,1,0,0
AUS,D36T99,764484.5260000001,764484.5,1,0,0
AUS,ICTPRD,3759257.233000001,3759257.3,1,0,0
BEL,D01T03,12982053.586,12982054,.99999994,-5.9604645e-08,5.9604645e-08
BEL,D05T08,27533307.276,27533308,1,0,0
BEL,D10T32,394004908.097,394004896,1,0,0
BEL,D35,1011784.176,1011784.2,1,0,0
BEL,D36T99,1733518.991,1733519,1,0,0
BEL,ICTPRD,13412585.971,13412586,1,0,0
CZE,D01T03,3828186.996,3828187,1,0,0
CZE,D05T08,1236322.569,1236322.6,.99999994,-5.9604645e-08,5.9604645e-08
CZE,D10T32,237379791.062,237379792,1,0,0
CZE,D35,1613029.326,1613029.4,.99999994,-5.9604645e-08,5.9604645e-08
CZE,D36T99,3034288.041,3034288,1,0,0
CZE,ICTPRD,28059337.318,28059338,1,0,0
DEU,D01T03,32359100.673,32359100,1,0,0
DEU,D05T08,13280374.171,13280374,1,0,0
DEU,D10T32,1443117377.151,1443117440,.99999994,-5.9604645e-08,5.9604645e-08
DEU,D35,2574412.567,2574412.5,1,0,0
DEU,D36T99,8600210.807999998,8600211,1,0,0
DEU,ICTPRD,81478327.77900001,81478328,1,0,0
DNK,D01T03,5746035.240999999,5746035,1,0,0
DNK,D05T08,701504.311,701504.31,1,0,0
DNK,D10T32,95418108.39699998,95418112,.99999994,-5.9604645e-08,5.9604645e-08
DNK,D35,246911.019,246911.02,1,0,0
DNK,D36T99,621098.598,621098.63,.99999994,-5.9604645e-08,5.9604645e-08
DNK,ICTPRD,5535600.624,5535600.5,1,0,0
ESP,D01T03,21226059.875,21226060,1,0,0
ESP,D05T08,4845627.664,4845627.5,1,0,0
ESP,D10T32,376100654.91,376100640,1,0,0
ESP,D35,1826328.532,1826328.5,1,0,0
ESP,D36T99,1513364.227,1513364.3,1,0,0
ESP,ICTPRD,12895677.028,12895677,1,0,0
FIN,D01T03,1066312.313,1066312.4,.99999994,-5.9604645e-08,5.9604645e-08
FIN,D05T08,979025.5420000001,979025.56,1,0,0
FIN,D10T32,62695390.08100001,62695392,.99999994,-5.9604645e-08,5.9604645e-08
FIN,D35,.002,.0020000001,.99999994,-5.9604645e-08,5.9604645e-08
FIN,D36T99,139067.434,139067.44,1,0,0
FIN,ICTPRD,2791631.868,2791631.8,1,0,0
FRA,D01T03,21784761.335,21784762,.99999994,-5.9604645e-08,5.9604645e-08
FRA,D05T08,14308864.132,14308864,1,0,0
FRA,D10T32,691906119.938,691906112,1,0,0
FRA,D35,3251451.997,3251452,1,0,0
FRA,D36T99,4623575.176999999,4623575,1,0,0
FRA,ICTPRD,27407562.797,27407562,1,0,0
GBR,D01T03,12680692.21,12680692,1,0,0
GBR,D05T08,23547742.449,23547742,1,0,0
GBR,D10T32,622667626.6949999,622667648,.99999994,-5.9604645e-08,5.9604645e-08
GBR,D35,1350560.186,1350560.1,1,0,0
GBR,D36T99,10874549.908,10874550,1,0,0
GBR,ICTPRD,38947608.11300001,38947608,1,0,0
GRC,D01T03,2047445.495,2047445.5,1,0,0
GRC,D05T08,144457.071,144457.08,.99999994,-5.9604645e-08,5.9604645e-08
GRC,D10T32,37934663.97199999,37934664,1,0,0
GRC,D35,90324.58899999999,90324.586,1,0,0
GRC,D36T99,175586.415,175586.42,.99999994,-5.9604645e-08,5.9604645e-08
GRC,ICTPRD,1631043.717,1631043.8,1,0,0
HUN,D01T03,2884190.522,2884190.5,1,0,0
HUN,D05T08,368235.00427,368235,1,0,0
HUN,D10T32,143657370.584,143657376,.99999994,-5.9604645e-08,5.9604645e-08
HUN,D35,447909.928,447909.94,1,0,0
HUN,D36T99,316360.4330000001,316360.44,1,0,0
HUN,ICTPRD,16636895.468,16636895,1,0,0
IRL,D01T03,2189238.057,2189238,1,0,0
IRL,D05T08,1613675.235,1613675.3,1,0,0
IRL,D10T32,168137538.183,168137536,1,0,0
IRL,D35,209013.298,209013.3,1,0,0
IRL,D36T99,807710.7390000001,807710.75,1,0,0
IRL,ICTPRD,9839393.575000003,9839394,.99999994,-5.9604645e-08,5.9604645e-08
ITA,D01T03,14267222.429,14267222,1,0,0
ITA,D05T08,3918314.532,3918314.5,1,0,0
ITA,D10T32,544309412.331,544309440,.99999994,-5.9604645e-08,5.9604645e-08
ITA,D35,2487125.096,2487125,1,0,0
ITA,D36T99,2144637.018,2144637,1,0,0
ITA,ICTPRD,21603486.126,21603486,1,0,0
JPN,D01T03,8360300.755,8360301,1,0,0
JPN,D05T08,35312050.064,35312052,.99999994,-5.9604645e-08,5.9604645e-08
JPN,D10T32,422565763.54,422565760,1,0,0
JPN,D36T99,2137669.874,2137669.8,1,0,0
JPN,ICTPRD,27444597.15,27444598,.99999994,-5.9604645e-08,5.9604645e-08
KOR,D01T03,4341909.550999999,4341909.5,1,0,0
KOR,D05T08,19509106.848,19509106,1,0,0
KOR,D10T32,312659150.784,312659136,1,0,0
KOR,D35,820.556,820.55603,.99999994,-5.9604645e-08,5.9604645e-08
KOR,D36T99,1420937.592,1420937.6,1,0,0
KOR,ICTPRD,34286717.309,34286716,1,0,0
LUX,D01T03,812450.2439999999,812450.25,1,0,0
LUX,D05T08,95864.99200000003,95864.992,1,0,0
LUX,D10T32,26019989.392,26019990,1,0,0
LUX,D35,10.157,10.157,1,0,0
LUX,D36T99,161185.683,161185.69,1,0,0
LUX,ICTPRD,900251.051,900251.06,1,0,0
NLD,D01T03,38159537.65499999,38159536,1,0,0
NLD,D05T08,10290834.732,10290835,1,0,0
NLD,D10T32,590488403.816,590488384,1,0,0
NLD,D35,1030723.391,1030723.4,1,0,0
NLD,D36T99,3366139.272,3366139.3,1,0,0
NLD,ICTPRD,67462847.13600001,67462848,1,0,0
POL,D01T03,6156101.834000001,6156102,1,0,0
POL,D05T08,1892754.331,1892754.4,1,0,0
POL,D10T32,274063458.198,274063456,1,0,0
POL,D35,763631.9739999999,763632,.99999994,-5.9604645e-08,5.9604645e-08
POL,D36T99,3486473.876999999,3486474,.99999994,-5.9604645e-08,5.9604645e-08
POL,ICTPRD,19045921.269,19045922,.99999994,-5.9604645e-08,5.9604645e-08
PRT,D01T03,4169966.032,4169966,1,0,0
PRT,D05T08,1397094.644,1397094.6,1,0,0
PRT,D10T32,100480439.622,100480440,1,0,0
PRT,D35,526890.132,526890.13,1,0,0
PRT,D36T99,281684.184,281684.19,1,0,0
PRT,ICTPRD,5038575.699000001,5038575.5,1,0,0
SVK,D01T03,1717578.411,1717578.4,1,0,0
SVK,D05T08,572023.1680000001,572023.19,.99999994,-5.9604645e-08,5.9604645e-08
SVK,D10T32,108783623.108,108783624,1,0,0
SVK,D35,409585.037,409585.03,1,0,0
SVK,D36T99,306034.702,306034.69,1,0,0
SVK,ICTPRD,13370642.56,13370643,.99999994,-5.9604645e-08,5.9604645e-08
USA,D01T03,15099465.784,15099466,1,0,0
USA,D05T08,17369560.17199999,17369560,1,0,0
USA,D10T32,949808097.2470001,949808128,.99999994,-5.9604645e-08,5.9604645e-08
USA,D35,79.06899999999999,79.069,1,0,0
USA,D36T99,19110020.743,19110020,1,0,0
USA,ICTPRD,62094549.789,62094548,1,0,0
